club_name,name,wage,age,pace,shooting,passing,dribbling,position,joined,contract,nationality,preferred_foot,international_reputation
Juventus,Giorgio Chiellini,88000,36,68,46,60,59,SUB,2005-07-01,2023,Italy,Left,4
Borussia Dortmund,Mats Hummels,95000,32,56,59,77,73,LCB,2019-07-01,2022,Germany,Right,4
FC Barcelona,Jordi Alba Ramos,200000,32,86,69,81,83,LB,2012-07-01,2024,Spain,Left,3
Liverpool,Thiago AlcÃ¢ntara do Nascimento,180000,30,63,72,86,90,LCM,2020-09-18,2024,Spain,Right,3
FC Barcelona,Sergio Busquets i Burgos,200000,32,42,62,79,80,CDM,2008-09-01,2023,Spain,Right,4
Villarreal CF,Daniel Parejo MuÃ±oz,64000,32,50,83,90,81,LCM,2020-08-12,2024,Spain,Right,2
Napoli,Lorenzo Insigne,125000,30,87,78,85,90,LW,2010-07-01,2022,Italy,Right,4
Napoli,Kalidou Koulibaly,105000,30,81,28,51,65,LCB,2014-07-01,2023,Senegal,Right,3
Manchester United,RaphaÃ«l Varane,180000,28,82,49,64,65,RCB,2021-07-27,2025,France,Right,3
Manchester City,Riyad Mahrez,220000,30,81,79,81,90,RW,2018-07-10,2023,Algeria,Left,3
Villarreal CF,Gerard Moreno BalaguerÃ³,73000,29,79,86,77,84,RS,2018-07-02,2027,Spain,Left,2
Leicester City,Jamie Vardy,180000,34,85,84,70,80,ST,2012-05-01,2023,England,Right,3
Liverpool,FÃ¡bio Henrique Tavares,165000,27,67,69,78,78,CDM,2018-07-01,2026,Brazil,Right,3
Manchester City,JoÃ£o Pedro Cavaco Cancelo,185000,27,85,71,83,84,LB,2019-08-07,2025,Portugal,Right,3
Manchester City,Aymeric Laporte,185000,27,63,50,72,69,LCB,2018-01-30,2024,Spain,Left,3
FC Bayern MÃ¼nchen,Kingsley Junior Coman,120000,25,93,76,79,88,SUB,2015-08-30,2023,France,Right,4
Manchester City,Bernardo Mota Veiga de Carvalho e Silva,200000,26,80,76,83,91,SUB,2017-07-01,2025,Portugal,Left,2
AtlÃ©tico de Madrid,Marcos Llorente Moreno,95000,26,88,80,81,82,RM,2019-07-01,2027,Spain,Right,3
Manchester City,Rodrigo HernÃ¡ndez Cascante,175000,25,61,70,77,78,CDM,2019-07-04,2024,Spain,Right,3
Inter,Milan Å kriniar,150000,26,80,41,53,69,RCB,2017-07-07,2023,Slovakia,Right,3
Sevilla FC,Alejandro DarÃ­o GÃ³mez,51000,33,87,78,84,87,LCM,2021-01-26,2024,Argentina,Right,3
Chelsea,Thiago Emiliano da Silva,105000,36,53,54,72,72,SUB,2020-08-28,2022,Brazil,Right,4
Real Sociedad,David JosuÃ© JimÃ©nez Silva,44000,35,63,74,87,87,CAM,2020-08-17,2022,Spain,Left,4
Manchester United,Edinson Roberto Cavani GÃ³mez,190000,34,66,86,70,76,SUB,2020-10-05,2022,Uruguay,Right,4
Real Madrid CF,Eden Hazard,240000,30,84,80,82,88,LW,2019-07-01,2024,Belgium,Right,4
Juventus,Leonardo Bonucci,110000,34,64,58,69,72,RCB,2018-08-02,2024,Italy,Right,3
Manchester City,Ä°lkay GÃ¼ndoÄŸan,185000,30,65,80,85,86,LCM,2016-07-01,2023,Germany,Right,3
Borussia Dortmund,Marco Reus,95000,32,73,84,84,85,CAM,2012-07-01,2023,Germany,Right,4
Manchester City,Kyle Walker,170000,31,92,63,76,78,RB,2017-07-14,2024,England,Right,3
Arsenal,Pierre-Emerick Emiliano FranÃ§ois Aubameyang,145000,32,89,85,75,80,ST,2018-01-31,2023,Gabon,Right,3
AtlÃ©tico de Madrid,Jorge ResurrecciÃ³n Merodio,90000,29,70,75,85,81,RCM,2011-01-01,2024,Spain,Right,3
Inter,Stefan de Vrij,145000,29,72,41,64,70,CB,2018-07-01,2023,Netherlands,Right,3
Liverpool,Roberto Firmino Barbosa de Oliveira,185000,29,77,78,79,89,CF,2015-07-06,2023,Brazil,Right,3
FC Barcelona,Memphis Depay,220000,27,82,83,82,84,LW,2021-07-01,2023,Netherlands,Right,3
Real Madrid CF,Daniel Carvajal Ramos,210000,29,80,54,78,80,RB,2013-07-05,2025,Spain,Right,3
Chelsea,Luiz Frello Filho Jorge,170000,29,55,67,86,81,LCM,2018-07-16,2023,Italy,Right,2
FC Bayern MÃ¼nchen,Serge David Gnabry,110000,25,83,84,79,86,RM,2017-07-01,2023,Germany,Right,4
Lazio,Sergej MilinkoviÄ‡-SaviÄ‡,100000,26,68,79,80,81,RCM,2015-08-06,2024,Serbia,Right,3
Leicester City,Onyinye Wilfred Ndidi,120000,24,67,62,69,74,LDM,2017-01-05,2024,Nigeria,Right,1
Real Sociedad,Mikel Oyarzabal Ugarte,57000,24,82,82,81,84,LW,2014-07-01,2024,Spain,Left,2
Inter,Lautaro Javier MartÃ­nez,145000,23,84,81,72,85,LS,2018-07-05,2023,Argentina,Right,3
Manchester United,Marcus Rashford,150000,23,90,84,79,84,SUB,2014-07-01,2023,England,Right,3
Paris Saint-Germain,Achraf Hakimi Mouh,100000,22,95,71,78,83,RB,2021-07-06,2026,Morocco,Right,2
Juventus,Matthijs de Ligt,81000,21,73,59,60,69,LCB,2019-07-18,2024,Netherlands,Right,3
AC Milan,Zlatan IbrahimoviÄ‡,51000,39,65,87,78,79,SUB,2020-01-02,2022,Sweden,Right,5
Sevilla FC,JesÃºs Navas GonzÃ¡lez,30000,35,87,69,81,83,RB,2017-07-28,2024,Spain,Right,2
FC Barcelona,Gerard PiquÃ© BernabÃ©u,175000,34,58,61,71,68,LCB,2008-07-01,2024,Spain,Right,4
Napoli,Dries Mertens,105000,34,85,82,80,88,SUB,2013-07-01,2022,Belgium,Right,3
Paris Saint-Germain,Georginio Wijnaldum,115000,30,77,75,80,86,RCM,2021-07-01,2024,Netherlands,Right,3
Liverpool,Jordan Henderson,140000,31,66,74,83,79,RCM,2011-06-09,2025,England,Right,3
Sevilla FC,Fernando Francisco Reges,43000,33,66,62,75,74,CDM,2019-07-12,2022,Brazil,Right,2
AtlÃ©tico de Madrid,Kieran Trippier,74000,30,73,63,82,77,SUB,2019-07-17,2023,England,Right,2
RC Celta de Vigo,Iago Aspas Juncal,46000,33,82,85,79,86,RS,2015-07-01,2023,Spain,Left,2
Real Madrid CF,David Olatukunbo Alaba,195000,29,77,70,81,80,LB,2021-07-01,2026,Austria,Left,4
Lazio,Luis Alberto Romero Alconchel,95000,28,60,76,86,84,LCM,2016-08-31,2025,Spain,Right,2
Ajax,DuÅ¡an TadiÄ‡,32000,32,69,81,85,85,LW,2018-07-03,2024,Serbia,Left,3
AS Monaco,Wissam Ben Yedder,88000,30,82,84,77,87,ST,2019-08-14,2024,France,Right,2
Everton,Lucas Digne,110000,27,79,69,80,80,LB,2018-08-01,2023,France,Left,2
Atalanta,Josip IliÄiÄ‡,84000,33,75,86,84,86,SUB,2017-07-05,2022,Slovenia,Left,3
Manchester United,Harry Maguire,155000,28,50,55,69,70,LCB,2019-08-05,2024,England,Right,3
AtlÃ©tico de Madrid,Stefan SaviÄ‡,74000,30,64,35,57,58,RCB,2015-07-20,2024,Montenegro,Right,2
FC Bayern MÃ¼nchen,Marcel Sabitzer,110000,27,78,84,81,80,SUB,2021-08-30,2025,Austria,Right,3
Manchester United,Luke Shaw,140000,25,79,54,79,80,LB,2014-06-27,2023,England,Left,2
Manchester City,Jack Grealish,180000,25,80,76,83,88,LW,2021-08-05,2027,England,Right,3
Borussia MÃ¶nchengladbach,Matthias Ginter,45000,27,62,58,72,66,RCB,2017-07-04,2022,Germany,Right,3
AtlÃ©tico de Madrid,Felipe Augusto de Almeida Monteiro,74000,32,61,41,58,62,SUB,2019-07-01,2022,Brazil,Right,3
AtlÃ©tico de Madrid,Yannick Ferreira Carrasco,81000,27,88,81,78,85,LM,2020-09-08,2024,Belgium,Right,3
Eintracht Frankfurt,Filip KostiÄ‡,52000,28,88,77,82,83,LM,2019-05-17,2023,Serbia,Left,3
Chelsea,Hakim Ziyech,170000,28,78,76,87,83,SUB,2020-07-01,2025,Morocco,Left,3
Borussia Dortmund,RaphaÃ«l Adelino JosÃ© Guerreiro,79000,27,75,77,85,88,LB,2016-07-01,2023,Portugal,Left,3
Leicester City,Ricardo Domingos Barbosa Pereira,130000,27,83,67,78,82,RB,2018-06-09,2023,Portugal,Right,3
Chelsea,Timo Werner,155000,25,91,81,70,82,SUB,2020-07-01,2025,Germany,Right,3
Inter,Marcelo BrozoviÄ‡,130000,28,69,74,80,79,CDM,2016-07-01,2022,Croatia,Right,3
Leicester City,Youri Tielemans,125000,24,63,79,86,80,RDM,2019-07-08,2023,Belgium,Right,2
AtlÃ©tico de Madrid,JosÃ© MarÃ­a GimÃ©nez de Vargas,74000,26,69,45,57,59,CB,2013-07-01,2025,Uruguay,Right,2
Real Betis BalompiÃ©,Nabil Fekir,42000,27,83,83,82,87,CAM,2019-07-23,2023,France,Left,3
FC Bayern MÃ¼nchen,Leroy Aziz SanÃ©,105000,25,90,81,79,85,LM,2020-07-15,2025,Germany,Left,3
Inter,NicolÃ² Barella,120000,24,78,71,79,86,RCM,2020-09-01,2024,Italy,Right,3
Sevilla FC,Marcos Javier AcuÃ±a,45000,29,76,74,82,87,LB,2020-09-14,2024,Argentina,Left,2
RB Leipzig,AndrÃ© Miguel Valente da Silva,110000,25,74,84,69,83,ST,2021-07-02,2026,Portugal,Right,3
AC Milan,Franck Yannick KessiÃ©,51000,24,78,74,74,80,LDM,2019-07-01,2022,CÃ´te d'Ivoire,Right,3
AC Milan,Theo Bernard FranÃ§ois HernÃ¡ndez,51000,23,93,71,76,81,LB,2019-07-05,2024,France,Left,3
Chelsea,Kai Lukas Havertz,130000,22,82,78,79,84,SUB,2020-09-04,2025,Germany,Left,3
Manchester City,Philip Foden,125000,21,84,78,80,87,SUB,2016-07-01,2024,England,Left,3
Manchester City,Fernando Luiz Rosa,100000,36,59,72,75,78,SUB,2013-07-01,2022,Brazil,Right,3
Los Angeles FC,Carlos Alberto Vela Garrido,17000,32,80,82,78,84,RW,2018-01-01,2022,Mexico,Left,3
Borussia Dortmund,Axel Witsel,72000,32,61,72,81,79,SUB,2018-08-17,2022,Belgium,Right,3
AC Milan,Simon Thorup KjÃ¦r,54000,32,67,55,64,59,RCB,2020-01-13,2022,Denmark,Right,3
Inter,Edin DÅ¾eko,105000,35,66,83,72,78,RS,2021-08-14,2023,Bosnia and Herzegovina,Right,3
Olympique Lyonnais,JÃ©rÃ´me Boateng,81000,32,72,50,73,67,RES,2021-09-01,2023,Germany,Right,4
Chelsea,CÃ©sar Azpilicueta Tanco,125000,31,66,55,76,72,RWB,2012-08-24,2022,Spain,Right,3
Al Ahli,JosÃ© Paulo Bezzera Maciel JÃºnior,61000,32,72,81,77,81,LCM,2021-07-22,2024,Brazil,Right,3
Athletic Club de Bilbao,Iker Muniain GoÃ±i,44000,28,81,76,82,87,LM,2009-08-01,2024,Spain,Right,2
Real Betis BalompiÃ©,Sergio Canales Madrazo,38000,30,83,80,85,82,LM,2018-07-03,2023,Spain,Left,2
Juventus,Alex Sandro Lobo Silva,95000,30,81,65,77,79,LB,2015-08-21,2023,Brazil,Left,3
Napoli,Konstantinos Manolas,80000,30,81,25,44,62,RCB,2019-07-02,2024,Greece,Right,3
Roma,Henrikh Mkhitaryan,82000,32,85,80,79,83,LM,2020-08-01,2022,Armenia,Right,3
Juventus,Juan Guillermo Cuadrado Bello,95000,33,90,75,77,87,RM,2015-02-02,2022,Colombia,Right,3
Liverpool,JoÃ«l Andre Job Matip,130000,29,58,46,68,68,RCB,2016-07-01,2024,Cameroon,Right,2
Sporting CP,SebastiÃ¡n Coates NiÃ³n,21000,30,68,49,55,63,CB,2017-01-31,2023,Uruguay,Right,3
Lazio,Francesco Acerbi,75000,33,63,50,62,64,LCB,2018-07-11,2023,Italy,Left,3
Everton,Allan Marques Loureiro,100000,30,72,71,77,82,LDM,2020-09-05,2023,Brazil,Right,2
AS Monaco,Kevin Volland,83000,28,73,85,79,80,RF,2020-09-02,2024,Germany,Left,2
Paris Saint-Germain,Mauro Emanuel Icardi Rivero,120000,28,69,83,65,77,SUB,2020-06-08,2024,Argentina,Right,3
Roma,Leonardo Spinazzola,72000,28,92,64,73,80,RES,2019-07-01,2024,Italy,Right,3
Manchester City,John Stones,140000,27,70,51,71,74,SUB,2016-08-09,2026,England,Right,2
Wolverhampton Wanderers,RaÃºl Alonso JimÃ©nez RodrÃ­guez,120000,30,72,82,76,81,ST,2019-07-01,2024,Mexico,Right,3
Chelsea,Antonio RÃ¼diger,130000,28,75,43,68,64,LCB,2017-07-09,2022,Germany,Right,2
Sevilla FC,Lucas Ariel Ocampos,46000,26,81,84,78,83,LW,2019-07-03,2024,Argentina,Right,2
Chelsea,Mateo KovaÄiÄ‡,135000,27,70,69,83,88,SUB,2019-07-01,2024,Croatia,Right,3
Arsenal,Thomas Partey,115000,28,69,71,82,81,RDM,2020-10-05,2024,Ghana,Right,2
Valencia CF,JosÃ© LuÃ­s GayÃ  PeÃ±a,48000,26,83,61,77,80,LB,2012-09-13,2023,Spain,Left,3
AtlÃ©tico de Madrid,Thomas Lemar,71000,25,82,76,82,86,LCM,2018-07-01,2023,France,Left,3
Tottenham Hotspur,Pierre-Emile Kordt HÃ¸jbjerg,105000,25,60,71,76,76,RCM,2020-08-11,2025,Denmark,Right,2
AtlÃ©tico de Madrid,Ãngel MartÃ­n Correa,80000,26,85,83,78,87,SUB,2014-12-13,2024,Argentina,Right,2
Atalanta,DuvÃ¡n Esteban Zapata Banguera,77000,30,80,81,61,78,ST,2020-01-17,2023,Colombia,Right,2
TSG Hoffenheim,Andrej KramariÄ‡,59000,30,71,86,76,86,CAM,2015-01-16,2022,Croatia,Right,3
RB Leipzig,JosÃ© Ãngel Esmoris Tasende,77000,24,78,71,82,84,LB,2021-02-12,2025,Spain,Left,2
FC Bayern MÃ¼nchen,Lucas FranÃ§ois Bernard HernÃ¡ndez Pi,85000,25,77,54,68,71,SUB,2019-07-01,2024,France,Left,3
Real Madrid CF,Marco Asensio Willemsen,190000,25,82,80,81,83,SUB,2015-07-01,2023,Spain,Left,3
VfL Wolfsburg,Wout Weghorst,95000,28,63,83,59,70,ST,2018-07-01,2023,Netherlands,Right,2
Atalanta,Robin Everardus Gosens,65000,26,82,75,74,79,LM,2017-07-01,2023,Germany,Left,3
Real Sociedad,Mikel Merino ZazÃ³n,47000,25,74,78,81,82,RCM,2018-07-12,2025,Spain,Left,1
Paris Saint-Germain,Presnel Kimpembe,90000,25,81,42,68,70,SUB,2015-07-01,2024,France,Left,3
Real Madrid CF,Ferland Mendy,170000,26,92,64,76,79,SUB,2019-07-01,2025,France,Left,1
Manchester United,Aaron Wan-Bissaka,115000,23,85,52,69,79,RB,2019-06-29,2024,England,Right,2
GrÃªmio,Ronaldo Jailson Cabrais Petri,49000,29,88,77,83,84,CAM,2021-07-08,2024,Brazil,Right,1
Juventus,Arthur Henrique Ramos de Oliveira Melo,90000,24,69,67,83,88,SUB,2020-09-01,2024,Brazil,Right,2
Manchester City,Gabriel Fernando de Jesus,150000,24,84,81,72,86,SUB,2016-08-03,2023,Brazil,Right,2
FC Barcelona,Ousmane DembÃ©lÃ©,165000,24,93,77,77,86,RW,2017-08-28,2022,France,Left,3
Chelsea,Mason Mount,120000,22,74,79,84,83,RW,2016-01-10,2024,England,Right,3
Real Madrid CF,Federico Santiago Valverde Dipetta,160000,22,86,74,78,79,SUB,2016-07-22,2027,Uruguay,Right,1
Sevilla FC,Jules KoundÃ©,33000,22,81,45,64,72,RCB,2019-07-03,2024,France,Right,2
AtlÃ©tico de Madrid,JoÃ£o FÃ©lix Sequeira,61000,21,82,79,76,86,SUB,2019-07-03,2026,Portugal,Right,2
FC Porto,KlÃ©per Laveran de Lima Ferreira,14000,38,80,51,60,61,LCB,2019-01-08,2023,Portugal,Right,4
Villarreal CF,RaÃºl Albiol Tortajada,30000,35,40,41,62,63,RCB,2019-07-04,2022,Spain,Right,3
Sevilla FC,Ivan RakitiÄ‡,39000,33,57,79,85,78,SUB,2020-09-01,2024,Croatia,Right,3
Real Madrid CF,Gareth Frank Bale,170000,31,82,84,82,80,RW,2013-09-01,2022,Wales,Left,4
Al Shabab,Ã‰ver Maximiliano David Banega,46000,33,62,75,84,82,CAM,2020-08-22,2023,Argentina,Right,3
Athletic Club de Bilbao,Yuri Berchiche Izeta,35000,31,83,68,76,76,SUB,2018-07-02,2022,Spain,Left,2
Borussia MÃ¶nchengladbach,Lars Edi Stindl,41000,32,61,84,81,81,CAM,2015-07-01,2023,Germany,Right,3
Shanghai Port FC,Oscar dos Santos Emboaba JÃºnior,38000,29,78,79,82,82,CAM,2017-01-01,2024,Brazil,Right,3
FC Barcelona,Philippe Coutinho Correia,165000,29,69,79,80,88,SUB,2018-01-06,2023,Brazil,Right,4
Inter,Christian Dannemann Eriksen,120000,29,62,78,88,81,RES,2020-01-28,2024,Denmark,Right,3
Ajax,Daley Blind,23000,31,45,64,82,79,LB,2018-07-17,2023,Netherlands,Left,3
PSV,Mario GÃ¶tze,29000,29,68,75,83,84,CAM,2020-10-06,2024,Germany,Right,4
FC Porto,JesÃºs Manuel Corona RuÃ­z,22000,28,83,67,79,85,SUB,2015-08-31,2022,Mexico,Right,3
Arsenal,Alexandre Lacazette,110000,30,75,82,74,82,SUB,2017-07-05,2022,France,Right,3
Paris Saint-Germain,Idrissa Gana Gueye,88000,31,69,62,71,78,CM,2019-07-30,2023,Senegal,Right,2
PFC CSKA Moscow,MÃ¡rio Figueira Fernandes,57000,30,82,61,74,78,RB,2012-07-01,2024,Russia,Right,2
Real Madrid CF,Francisco RomÃ¡n AlarcÃ³n SuÃ¡rez,175000,29,66,75,80,88,SUB,2013-07-03,2022,Spain,Right,3
Crystal Palace,Wilfried Zaha,85000,28,89,77,73,87,RW,2015-02-02,2023,CÃ´te d'Ivoire,Right,2
Atalanta,Luis Fernando Muriel Fruto,70000,30,89,83,74,86,SUB,2019-07-01,2024,Colombia,Right,2
Levante UniÃ³n Deportiva,JosÃ© Ãngel GÃ³mez CampaÃ±a,43000,28,68,74,83,82,LCM,2016-08-11,2023,Spain,Right,1
Valencia CF,Gabriel Armando de Abreu,44000,30,67,49,71,65,RCB,2017-08-18,2024,Brazil,Right,2
Roma,Jordan Veretout,66000,28,77,75,77,79,LDM,2019-07-20,2024,France,Right,2
Sevilla FC,JesÃºs JoaquÃ­n FernÃ¡ndez SÃ¡ez de la Torre,42000,27,76,76,82,85,RW,2020-07-21,2025,Spain,Left,2
Borussia Dortmund,Thorgan Hazard,75000,28,80,76,80,85,SUB,2019-07-01,2024,Belgium,Right,2
Paris Saint-Germain,Juan Bernat Velasco,90000,28,82,65,78,82,LB,2018-08-31,2025,Spain,Left,2
Real Sociedad,Cristian PortuguÃ©s Manzanera,51000,29,90,78,77,79,SUB,2019-07-07,2024,Spain,Right,1
Inter,Hakan Ã‡alhanoÄŸlu,115000,27,67,78,84,85,LCM,2021-07-01,2024,Turkey,Right,3
Borussia Dortmund,Emre Can,72000,27,78,78,78,80,SUB,2020-02-18,2024,Germany,Right,3
Atalanta,Marten Elco de Roon,59000,30,66,68,71,73,RCM,2017-08-11,2024,Netherlands,Right,3
SL Benfica,Alejandro Grimaldo GarcÃ­a,18000,25,87,65,81,83,LWB,2016-01-04,2023,Spain,Left,3
AC Milan,Alessio Romagnoli,49000,26,68,40,56,68,SUB,2015-08-11,2022,Italy,Left,2
U.S. Sassuolo Calcio,Domenico Berardi,51000,26,79,80,81,85,RM,2012-07-01,2024,Italy,Left,2
Ajax,NicolÃ¡s Alejandro Tagliafico,24000,28,80,55,73,76,SUB,2018-01-05,2023,Argentina,Left,3
FC Bayern MÃ¼nchen,Niklas SÃ¼le,78000,25,65,42,59,51,LCB,2017-07-01,2022,Germany,Right,3
Manchester United,Alex Nicolao Telles,130000,28,83,73,82,78,SUB,2020-10-05,2024,Brazil,Left,3
Al Nassr,Anderson Souza ConceiÃ§Ã£o,61000,27,80,83,81,83,CAM,2021-06-26,2024,Brazil,Left,2
AtlÃ©tico de Madrid,Rodrigo Javier De Paul,68000,27,78,76,80,82,SUB,2021-07-12,2026,Argentina,Right,1
SL Benfica,Rafael Alexandre Fernandes Ferreira da Silva,22000,28,94,73,74,86,RM,2016-08-31,2024,Portugal,Right,2
Sevilla FC,Diego Carlos Santos Silva,37000,28,76,47,63,68,LCB,2019-07-01,2024,Brazil,Right,2
AC Milan,Ante RebiÄ‡,54000,27,86,83,75,81,LM,2020-09-12,2025,Croatia,Right,1
FC Barcelona,ClÃ©ment Nicolas Laurent Lenglet,145000,26,72,45,67,66,SUB,2018-07-12,2026,France,Left,2
Leicester City,James Maddison,100000,24,75,78,84,84,CAM,2018-06-20,2024,England,Right,1
Juventus,Manuel Locatelli,74000,23,61,72,79,77,RDM,2021-08-19,2023,Italy,Right,2
Arsenal,Martin Ã˜degaard,89000,22,77,74,83,84,CAM,2021-08-20,2026,Norway,Left,3
Wolverhampton Wanderers,RÃºben Diogo da Silva Neves,89000,24,59,75,85,77,RCM,2017-07-08,2024,Portugal,Right,2
Liverpool,Diogo JosÃ© Teixeira da Silva,120000,24,84,81,73,85,SUB,2020-09-19,2025,Portugal,Right,2
Liverpool,Joe Gomez,100000,24,81,30,66,69,SUB,2015-06-20,2024,England,Right,2
Napoli,FabiÃ¡n Ruiz PeÃ±a,77000,25,63,78,79,82,RCM,2018-07-05,2023,Spain,Left,2
Chelsea,Christian Mate Pulisic,120000,22,89,70,73,86,LW,2019-01-02,2024,United States,Right,3
Sporting CP,JoÃ£o Maria Lobo Alves Palhinha GonÃ§alves,18000,25,60,65,70,72,LCM,2015-07-01,2025,Portugal,Right,1
FC Bayern MÃ¼nchen,Dayotchanculle Oswald Upamecano,70000,22,81,43,62,68,RCB,2021-07-05,2026,France,Right,2
AtlÃ©tico de Madrid,Mario Hermoso Canseco,62000,26,75,49,72,71,LCB,2019-07-18,2024,Spain,Left,1
Aston Villa,Leon Bailey Butler,75000,23,93,78,74,84,SUB,2021-08-04,2025,Jamaica,Left,3
Chelsea,Ben Chilwell,100000,24,76,53,77,78,SUB,2020-08-26,2025,England,Left,2
GrÃªmio,JosuÃ© Durval Chiamulera Vaz,41000,29,78,43,56,64,RCB,2021-07-08,2024,Brazil,Right,1
Everton,Richarlison de Andrade,100000,24,83,78,73,83,LM,2018-07-24,2024,Brazil,Right,3
Inter,Denzel Justus Morris Dumfries,100000,25,80,61,66,72,SUB,2021-08-15,2025,Netherlands,Right,3
Leeds United,Raphael Dias Belloli,89000,24,91,76,76,84,RM,2020-10-06,2024,Brazil,Left,2
Real Sociedad,Alexander Isak,37000,21,84,82,68,79,ST,2019-07-01,2026,Sweden,Right,2
West Ham United,Declan Rice,69000,22,66,53,71,74,LDM,2016-06-29,2024,England,Right,1
FC Bayern MÃ¼nchen,Alphonso Boyle Davies,59000,20,96,67,71,82,LB,2019-01-01,2025,Canada,Left,3
Borussia MÃ¶nchengladbach,Florian Christian Neuhaus,36000,24,64,72,79,82,LDM,2017-07-01,2024,Germany,Right,2
Sevilla FC,Youssef En-Nesyri,37000,24,78,83,58,78,ST,2020-01-16,2025,Morocco,Left,2
Tottenham Hotspur,Tanguy NdombÃ¨lÃ© Alvaro,95000,24,71,72,81,88,SUB,2019-07-02,2024,France,Right,1
